Afghani
Lek
Dinar
Euro
New Kwanza
East Caribbean dollar
Peso
Dram
Australian dollar
Euro (formerly schilling)
Manat
Bahamian dollar
Bahrain dinar
Taka
Barbados dollar
Belorussian ruble
Euro (formerly Belgian franc)
Belize dollar
CFA Franc
Ngultrum
Boliviano
Convertible Mark
Pula
Real
Brunei dollar
Lev
CFA Franc
Burundi franc
Riel
CFA Franc
Canadian dollar
Cape Verdean escudo
CFA Franc
CFA Franc
Chilean Peso
Chinese Yuan
Colombian Peso
Franc
CFA Franc
Congolese franc
Colón
CFA Franc
Croatian
Cuban Peso
Euro
Koruna
Danish Krone
Djiboutian franc
East Caribbean dollar
Dominican Peso
U.S. dollar
U.S. dollar
Egyptian pound
Colón; U.S. dollar
CFA Franc
Nakfa
Estonia Kroon; Euro
Birr
Fiji dollar
Euro (formerly markka)
Euro (formerly French franc)
CFA Franc
Dalasi
Lari
Euro (formerly Deutsche mark)
Cedi
Euro (formerly drachma)
East Caribbean dollar
Quetzal
Guinean franc
CFA Franc
Guyanese dollar
Gourde
Lempira
Forint
Icelandic króna
Indian Rupee
Rupiah
Rial
Iraqi Dinar
Euro (formerly Irish pound [punt])
Shekel
Euro (formerly lira)
West African CFA franc
Jamaican dollar
Yen
Jordanian dinar
Tenge
Kenya shilling
Kiribati dollar
Won
Won
Euro (German Mark prior to 2002)
Kuwaiti Dollar
Som
New Kip
Lats
Lebanese pound
Maluti
Liberian dollar
Libyan dinar
Swiss franc
Litas
Euro (formerly Luxembourg franc)
Denar
Malagasy Ariary
Kwacha
Ringgit
Rufiyaa
CFA Franc
Euro
U.S. Dollar
Ouguiya
Mauritian rupee
Mexican peso
U.S. Dollar
Leu
Euro
Togrog
Euro
Dirham
Metical
Kyat
Namibian dollar
Australian dollar
Nepalese rupee
Euro (formerly guilder)
New Zealand dollar
Gold cordoba
CFA Franc
Naira
Norwegian krone
Omani rial
Pakistani rupee
U.S. dollar
Palestine Pound
Balboa; U.S. dollar
Kina
Guaraní
Nuevo sol (1991)
Peso
Zloty
Euro (formerly escudo)
Qatari riyal
Romanian Rupee
Ruble
Rwandan franc
East Caribbean dollar
East Caribbean dollar
East Caribbean dollar
Tala
Euro
Dobra
Riyal
CFA Franc
Serbian Dinar
Seychelles rupee
Leone
Singapore dollar
Euro
Slovenian tolar; euro (as of 1/1/07)
Solomon Islands dollar
Somali shilling
Rand
Sudanese Pound
Euro (formerly peseta)
Sri Lankan rupee
Sudanese Pound
Surinamese dollar
Lilangeni
Krona
Swiss franc
Syrian pound
Taiwan dollar
somoni
Tanzanian shilling
Baht
CFA Franc
Pa'anga
Trinidad and Tobago dollar
Tunisian dinar
Turkish lira (YTL)
Manat
Tuvaluan Dollar
Ugandan new shilling
Hryvnia
U.A.E. Dirham
Pound sterling
Dollar
Uruguay peso
Uzbekistani sum
Vatu
Euro
Bolivar
Dong
Rial
Kwacha
United States dollar
