Dari Persian; Pashto
Albanian
Arabic; Tamazight; French
Catalan
Portuguese
English
Spanish
Armenian
English
German
Azerbaijani
English
Arabic
Bangla
English
Belarusian; Russian
Dutch; French; German
English
French
Dzongkha
Spanish; Quechua; Aymara
Bosnian; Croatian; Serbian
English; Tswana
Portuguese
Malay
Bulgarian
French
Kirundi; French
Khmer
French; English
English; French
Portuguese
Sango; French
French; Arabic
Spanish
Mandarin
Spanish
Comorian; Arabic; French
French
French
Spanish
French
Kuna
Spanish
Greek; Turkish
Czech; Slovak
Danish
Arabic; French
English; French;
Spanish
Tetum; Portuguese;
Spanish
Arabic
Spanish
Spanish; French; Portuguese
Arabic; Tigrinya; English
Estonian
Amharic
English; Bau Fijian; Hindi
Finnish; Swedish
French
French
English
Georgian
German
English
Greek
English; Patois
Spanish
French
Portuguese
English
Haitian Creole; French
Spanish
Hungarian
Icelandic
Hindi; English
Indonesian
Persian
Arabic; Kurdish
English; Irish
Hebrew; Arabic
Italian
French
English
Japanese
Arabic
Kazakh; Russian
Swahili; English
English; Gilbertese
Korean
Korean
Albanian; Serbian
Arabic; English
Kyrgyz; Russian
Lao (Laotian)
Latvian
Arabic; French
Sesotho; English
English
Arabic
German
Lithuanian
German; French
Macedonian
Malagasy; French; English
English
Malay
Dhivehi
French
Maltese; English
Marshallese; English
Arabic
English
Spanish
English
Moldovan (Romanian)
French; Italian; English
Mongolian
Montenegrin
Arabic
Portuguese
Burmese
English; Afrikaans; German
English; Nauran
Nepali
Dutch
English
Spanish
French
English
Norwegian
Arabic
Urdu; English
English; Palauan
Arabic
Spanish
English; Tok Pisin
Spanish; Guarani
Spanish
Filipino; English
Polish
Portuguese
Arabic
Romanian
Romanian
Russian
English
English
English
Samoan; English
Italian
Portuguese
Arabic
French
Serbian
Seychellois Creole; French English
English
English; Chinese; Malay
Slovak
Slovene
English
Somali Arabic
Afrikaans; English; Southern Ndebele; Northern Sotho; Southern Sotho; Swazi
English
Spanish; Catalan Galician; Gasque
Sinhala; Tamil
Arabic; English
Dutch
English; Swati
Swedish
German; French; Italian; Romansh
Arabic
Standard Chinese
Tajik; Russian
Swahili; English
Thai
French
English
English
Arabic
Turkish
Turkmen
Tuvaluan; English
Swahili; English; Luganda
Ukrainian
Arabic
English
English
Spanish
Uzbek
Bislama; French; English
Italian
Spanish
Vietnamese
Arabic
English
English; Shona; Ndebele
